,내용
1151, .년에 유행한 .낭충봉아부패병.이라는 치명적인 바이러스로 인해 전체 토종벌의 . 가량이 폐사했기 때문이다
1152, 지역 양봉 농가들의 피해도 극심한 상황이다
1153, 그룹 연수원인 경기도 안성시 미래원 야외 정원에 설치된 토종꿀벌 양봉 시설 전경. 사진 이에 는 미래원 내 유휴부지를 토종꿀벌 양봉 장소로 제공하기로 했다
1154, .월경 수확이 예상되는 .의 토종꿀은 가 연말 마다 개최하는 나눔 행사를 통해 안성시내 복지시설과 저소득층에 전달할 예정이다
1155, 이같은 활동이 드문 일은 아니다
1156, 다른 국내외 기업들도 꿀벌 살리기 활동을 해왔다
1157, 독일 포르셰는 라이프치히 공장에 약 .만 마리가 서식할 수 있는 양봉 시설을 만들었다
1158, 영국의 자동차 기업 롤스로이스와 벤틀리는 약 .만 마리의 꿀벌을 본사 및 공장 부지에서 기르기 시작했다
1159, 화장품 회사 아모레퍼시픽도 꿀벌 정원을 조성해 도심양봉을 진행했다
1160, 백일현 기자 .다
1161,아디다스는 지난 .년부터 스포츠를 통해 해양 환경보호 활동을 촉구하는 러닝 이벤트 .런 포 더 오션.을 전세계 .여개 도시에서 진행하고 있다
1162, 사진 아디다스 서울 마포구 한 커피전문점에서 만난 .대 대학생 씨는 커피를 주문하며 집에서 챙겨온 텀블러를 내밀었다
1163, 씨는 .플라스틱 폐기물로 인한 환경오염이 세계적으로 문제인데 나부터 바꿔보자는 생각에 일회용품 사용을 자제하고 있다
1164,고 설명했다
1165, 이 카페에서 근무하는 씨는 .실제로 젊은 고객들 중 텀블러를 가지고 오는 경우가 최근 .정도 늘었다
1166,고 말했다
1167, .가치 소비.를 추구하는 세대밀레니얼 세대와 세대의 합성어의 특성이 반영된 소비의 변화다
1168, 털.가죽 소재 대체 플라스틱 재활용친환경.리사이클링 소재 브랜드 인기아디다스는 .가 .지속가능 소재.지속가능한 혁신. 선두주자로 우뚝 세대는 소비를 통해 자신의 신념을 드러내는 이른바 .미닝아웃. 을 중시한다
1169, 이들은 .옷.신발부터 내가 구매하는 물건 하나하나가 나의 평소 철학을 표현하는 것이라 생각한다
1170,고 말한다
1171, 기왕이면 플라스틱컵 대신 텀블러를 비닐봉투 대신 에코백을 비싸더라도 친환경 가치를 담은 브랜드를 이용하겠다는 것이다
1172, 패션업계도 유행을 선도하는 세대의 트렌드에 맞춰 가치나 철학을 담은 제품을 늘리고 있다
1173, 애초부터 친환경이나 리사이클링소재를 사용하고 제조과정에서 이산화탄소 배출을 최소화 하는 방식으로 제품을 생산한다
1174, 이 같은 추세는 .친환경. .사회적 책임. .지배구조 개선.을 강조하는 .경영. 추세와 맞물려 더 확대되고 있다
1175, 단순히 리사이클링 소재나 친환경 소재를 활용하는 것에서 나아가 더 큰 관점에서의 .지속가능성.을 바라보고 있는 것이다
1176, 페이크 퍼 플랜트 레더. .지속가능 패션. 바람 .년간 .지속가능한 패션.을 실천해온 스텔라 맥카트니 가 대표적이다
1177, 이 패션브랜드는 털과 가죽을 사용하지 않는 것으로 유명하다
1178, 자연 분해 가능한 소재나 재생 나일론 폴리에스테르 캐시미어를 주로 사용한다
1179, 또 옥수수 섬유로 .페이크 퍼.를 만들고 균사체를 가죽을 배양하는 섬유 소재 기업과도 협력하고 있다
1180, 특히 기존 패션기업과의 파트너십을 통해 .지속가능한 패션.의 범주를 확장시키고 있다
1181, 최근엔 아디다스와 손잡고 바이오 가공 기술을 통해 셀룰로오스와 단백질 기반 소재의 테니스의류 시제품을 선보이기도 했다
1182, 국내 기업 중엔 코오롱의 온라인몰코오롱몰이 눈에 띈다
1183, 코오롱몰은 지난해부터 지속가능성 제품 판매 코너 .위두.를 운영하고 있다
1184, 친환경.재활용.동물복지를 지향하는 브랜드가 내놓은 화장품.의류.생활용품 등을 소개하고 판매하는 것이다
1185, 판매 금액의 .는 지속가능 관련 사업에 기부도 하고 있으며 지난해 말엔 나무심기 프로젝트도 진행했다
1186, 단순히 .지속가능성. 관련 제품을 판매하는 것에만 그치지 않고 관련 캠페인까지 화두를 확장하고 있다
1187, 아디다스가 올버즈와 함께 출시한 러닝화 .퓨처크래프트 루프.는 밑창부터 신발끈까지 . 재활용이 가능한 제품이다
1188, 사진 아디다스 또다른 .지속가능한 패션.의 선두주자 .올버즈.는 플라스틱 소재 대신 양모 유칼립투스 나무 사탕수수 등 천연소재를 활용해 신발을 만드는 회사다
1189, 가죽을 대체할 . 식물성 가죽 .플랜트 레더.를 세계 최초로 선보이기도 했다
1190, 지난 .월엔 아디다스와 손잡고 저탄소 러닝화 퓨처크래프트풋프린트를 선보였다
1191, 이 제품은 탄소 발자국을 . .이산화탄소 환산량까지 낮추면서 퍼포먼스 기능도 발휘할 수 있도록 한 러닝화다
1192, .탄소 발자국 제로.라는 목표에 한층 더 가까이 다가간 제품으로 평가받으며 패션과 스포츠 산업의 기대주로 떠오르고 있다
1193, 플라스틱 .톤 수거.신발 .만개 새 생명 아디다스는 지난 .여년간 .지속가능성.을 핵심요소로 삼아 .스포츠를 통해 삶을 변화시킨다
1194,는 철학을 전파해왔다
1195, 실제로 .지속가능한 제품.을 만들어내고 소비자를 대상으로 한 캠페인도 활발히 진행하고 있다
1196, 지난 .년부터는 해양환경단체 .팔리 포 더 오션. 과 파트너십을 맺고 세계 해양 보전에 기여하는 다양한 프로젝트를 실시하고 있다
1197, .년부터 지속하고 있는 러닝 이벤트 .런 포 더 오션. 은 스포츠를 통해 해양 환경보호 활동을 촉구하는 활동으로 각광받고 있다
1198, 지난 .년엔 한국을 비롯해 뉴욕.상하이.바르셀로나 등 전세계 .개 도시에서 .만명의 참가자가 몰렸다
1199, 러너들이 완주한 거리를 환산해 .만달러약 .억 .만원의 기금을 만들었고 이는 개발도상국 어린이를 대상으로 하는 .해양 생태계 보호 지식.기술 교육 프로젝트.에 활용되고 있다
1200, 올해는 신종 코로나바이러스 감염증코로나. 상황에 따라 .아디다스 러닝 앱.을 통해 비대면으로 행사를 진행했다
1201, 아디다스는 제품이 환경에 미치는 영향을 고려해 소재와 제조방식 등을 결정하고 있다
1202, 지난해엔 플라스틱과 동물성 소재를 최소화한 .비건. 버전으로 클래식 아이템 .스탠 스미스.를 출시했다
1203, 사진 아디다스 지난해 한해만 .톤의 플라스틱 쓰레기를 수거했는데 . 가량의 페트병 약 .억.만개에 달하는 수치다
1204, 수거한 플라스틱은 지난해 .만개의 신발로 새 생명을 얻었고 올해는 .만개가 추가 생산된다
1205, 이밖에도 이들은 밑창부터 신발끈까지 . 재활용이 가능한 러닝화 .퓨처크래프트 루프. 도 출시했다
1206, 재활용이 가능한 단일 소재에 접착제 없이 만들어져 폐기물이 전혀 발생하지 않는 것이 특징이다
1207, 아디다스 환경영향 고려한 신제품 설계 아디다스는 유엔기후변화 협약의 .패션산업을 위한 기후 보호 헌장.에 서명하며 기후 보호에도 앞장서고 있다
1208, .년까지 생산공정에서 나오는 온실가스 배출을 .년 대비 . 감축하고 .년까지는 기후 중립을 달성한다는 장기 목표를 수립했다
1209, 현재 아디다스 본사가 있는 독일에서는 이미 대부분의 전기를 .재생가능한 에너지원.으로부터 공급받고 있다
1210, 탄소 배출량과 물 소비량을 줄이고 온전한 환경 보존이라는 목표를 협력업체들과 공유하고 있으며 기후 및 환경 보호를 위한 조치들도 실시하고 있다
1211, 이밖에도 제품이 환경에 미치는 영향에 대해 미리 고민하고 소재와 제조방식 등도 정하고 있다
1212, 탄소 배출을 줄이기 위해 .오일 베이스 플라스틱.을 사용하지 않는 것 등이 그 노력의 예다
1213, 탄소 소비량을 줄이기 위해 소재를 더 얇고 가볍게 만들고 물과 화학연료.에너지 소비를 줄이기 위해 드라이 염색 기법을 활용하고 있다
1214, 지난해엔 동물 유래 성분과 원료 사용을 배제하고 . 비건 소재로 선보인 .스탠 스미스. 등을 출시하기도 했다
1215, .년부터는 모든 제품의 재료로 사용되는 폴리에스테르를 리사이클링 소재로 제작하는 걸 목표로 삼고 있는데 이를 위해 대규모 제품 회수 프로그램도 준비하고 있다
1216, 또 선수들을 위한 고성능 제품을 만들 때도 재활용 폴리에스테르를 더 많이 사용하여 환경 발자국을 개선하고 있다
1217, 지난해 출시한 제품 중 .프라임 블루. .프라임 그린. 마크가 붙은 건 모두 리사이클링소재로 만든 것들이다
1218, .년 .지속가능한 소재. 활용 . 기대 아디다스의 창립자인 아디 다슬러 의 원칙은 단순하다
1219, 선수들이 더 좋은 실력을 발휘하도록 하는 것. 이들의 .지속가능한 혁신. 목표 또한 .뛰어난 성능의 제품을 지속가능하게 만드는 것.이다
1220, 이 같은 목표에 따라 이미 아디다스 제품의 .개 중 .개는 .지속가능한 소재.로 제작되고 있다
1221, 리사이클재활용 소재 사용.순환재활용 가능한 제품 제작.재생천연 소재 사용 등 세 가지 루프를 지속적으로 확장하고 혁신하는 아디다스의 .루프 시스템.을 바탕으로 .년엔 이를 .까지 끌어올릴 수 있을 것으로 보고 있다
1222, .지속가능성.이란 목표를 바탕으로 한 아디다스의 노력은 .미닝아웃.을 중시하는 세대의 트렌드와 맞물려 앞으로 다른 패션기업들까지 확산할 것으로 기대된다
1223, 이연수 중앙일보기자 .다
1224, 지원 비건 화장품의 장.단점이 궁금해요. 가장 큰 장점은 동물을 착취하지 않고 얻은 성분으로 나를 가꿀 수 있다는 거죠. 단점이 있다면 동물성 성분이 들어간 화장품과 똑같은 기능을 할 순 없다는 거예요. 여기서 기능은 식약처.연구기관 등에서 .피부에 탄력을 준다
1225, .피부를 환하게 해준다
1226, 비건 선크림은 병풀 워터.브로콜리 추출물.동백나무 씨 오일 등 식물성 성분을 배합해 만든다
1227, 김리안왼쪽.최지원 학생모델이 동물실험을 거치치 않고 동물성 원료도 사용하지 않는 비건 선크림 만들기에 나섰다
1228, 핸드믹서를 이용해 식물성 원료를 고루 섞고 있는 두 사람. 인터뷰 후 박 대표를 따라간 제조실은 마치 과학 실험실을 연상케 했습니다
1229, 불필요한 탄소 발생을 줄이기 위해 핫플레이트 대신 직접 만든 수제 캔들을 쓰고요. 모든 과정에 일회용품.플라스틱을 전혀 사용하지 않습니다
1230, 이제 올리브 왁스.동백 씨 오일.징크옥사이드 등 크림 원료를 계량해서 한데 섞은 뒤 열을 가해 녹여주세요. .재료가 적당히 녹으면 병풀 워터를 붓습니다
1231, .윙. 핸드믹서 소리와 함께 식물성 재료가 서서히 선크림으로 변하는 과정을 관찰할 수 있었죠. 두 학생기자는 .생크림 같다
1232, .집에서 사용하는 로션이랑 다를 바 없다
1233,며 놀랐습니다
1234, 층이 생기지 않도록 중간중간 열을 가하며 잘 섞고 나니 판매용이라 해도 믿을 정도로 탄탄한 제형의 비건 선크림이 탄생했습니다
1235, 오염되지 않도록 조심하며 깨끗이 소독한 유리병에 담아주면 짠 이번 여름 햇빛으로부터 소중 학생기자단의 피부를 지켜줄 선크림 완성이죠. 박 대표는 .오염되지 않는다면 사용기한은 .개월 정도.라고 말했습니다
1236, 비건 선크림을 발라본 두 사람은 .발림성도 부드러울뿐더러 지구를 지키는 제품이라는 생각에 기분까지 좋아진다
1237,고 말했다
1238, 최지원경기도 신풍초 . 학생모델 글박소윤 기자 . 사진지다영오픈스튜디오 동행취재김리안서울 잠일초 .최지원경기도 신풍초 . 학생모델다
1239,윤석열 전 검찰총장이 지난 .일 오후 대전 유성구의 한 호프집에서 열린 문재인 정권 탈원전 .년의 역설 만민토론회에 참석 애국가를 부르고 있다
1240, 윤 전 총장은 이날 문재인 정부의 탈원전 정책을 비판했다
1241, 프리랜서 김성태 야권의 유력한 차기 대선 후보인 윤석열 전 검찰총장이 일본의 후쿠시마 원전 오염수 해양방류에 대해 과거엔 문제 삼지 않았다고 발언하자 환경단체가 강하게 비판했다
1242, 환경운동연합은 .일 보도자료를 내고 윤 전 총장에 대해 일본 정부의 후쿠시마 방사성 오염수 방류에 대한 정당화 발언을 사과하라라고 요구했다
1243, 아울러 단체 측은 일본 정부가 실행하려는 방사성 오염수 해양 방류는 인류 생명의 근원인 바다에 대한 핵 테러라며 국민 생명과 안전을 무시한 채 탈원전 반대를 정치적 이익으로 활용하는 윤석열 전 검찰총장의 몰지각한 행보를 규탄한다고 했다
1244, 이에 대해 이재명 경기지사는 .일 일본 극우 세력의 주장 이를 대변하는 일본 정부 논리와 다르지 않다고 비판했다
1245, 이낙연 전 더불어민주당 대표도 일본 자민당 총재직에 도전한 것인지 대한민국 대통령 후보에 도전한 것인지 구분하기 어렵다고 말했다
1246, 오원석 기자 .다
1247,중국에서 발생한 미세플라스틱이 바다를 타고 한국과 일본으로 흘러드는 장면이 미국 항공우주국.나사 의 인공위성에 포착됐다
1248, 워싱턴포스트는 .일현지시간 .년 발사된 의 기상관측용 인공위성의 자료를 연구하던 미시간대학 연구진이 해류 위의 미세 플라스틱 움직임을 관측하게 됐다고 보도했다
1249, 미국 오레곤 데포 베이로 쉽쓸려 온 미세플라스틱 잔해들. 연합뉴스 미세 플라스틱은 직경 . 미만의 플라스틱을 말하며 바다에 떠 있는 대부분의 플라스틱은 미세 플라스틱 형태를 띠는 것으로 알려져 있다
1250, 나사의 인공위성은 레이더를 이용해 허리케인 세기와 풍속에 대한 정보를 제공하는 .개의 작은 위성들로 이뤄진 시스템이다
1251, 미시간대 크리스토퍼 러프 교수와 대학원생 매들린 에번스는 지난달 . .라는 이름의 학술모임에서 .우주 공간 레이더를 통한 해양 미세플라스틱의 발견과 이미지화. 연구 보고서를 발표했다
1252, 이 보고서에 따르면 .년 특정 시기에 중국 양쯔강과 첸탕강 등 강 하구에서 미세플라스틱이 대량 방출된 것으로 드러났다
1253, 미시간대 논문. 미세플라스틱이 많으면 붉은색으로 표시된다
1254, 그동안 중국 양쯔강 하구는 미세 플라스틱이 방출된다는 의심을 받았으나 객관적인 자료로 이 사실이 입증된 건 처음이다
1255, 러프 교수는 미세플라스틱 방출에 대해 의심하는 것과 이를 직접 드러내 보이는 것은 전혀 다른 일이라며 새로운 관측 모델이 환경 오염을 막고 오염원을 색출하는 데 도움이 됐으면 한다는 의견을 밝혔다
1256, 상하이 빈장 산림공원 강변 산책길에 폐스티로폼 플라스틱 등을 비롯한 각종 해양 쓰레기가 쌓여 있다
1257, 진창일 기자 한편 중국은 해양 오염의 주범으로 오랫동안 지목돼 왔다
1258, 독일 헬름홀츠 환경 연구소는 지난 .년 .월 환경 저널 환경 과학과 기술에 게재한 논문에서 플라스틱 쓰레기 유입이 가장 많은 강이 중국의 양쯔강이며 중국의 황하강과 하이허강도 세계에서 쓰레기 유입이 가장 많은 강으로 .위권 안에 든다고 밝혔다
1259, 이 .개의 강에서 방출된 쓰레기는 고스란히 서해로 흘러들어온다
1260, 사단법인 동아시아 바다공동체 오션가 작성한 해양 쓰레기 발생량 조사 최종보고서는 중국 육상에서 발원한 쓰레기가 연간 .만.톤씩 전남 해역으로 유입되고 있는 것으로 추정하기도 했다
1261, 신혜연 기자 .다
1262,한국남부발전주사장 이승우 이하 .남부발전.이 연료추진선 도입으로 탄소 저감을 위한 친환경 수송에 박차를 가한다
1263, 탄소 등 환경 오염물질 저감은 물론 신규 선박 건조로 조선해양산업의 활력 제고에 보탬이 될 전망이다
1264, 남부발전은 .일 서울 플라자호텔에서 산업통상자원부이하 .산업부. 에이치라인해운선사 및 한국조선해양조선사과 .발전공기업 최초 연료추진선 도입을 위한 업무협약.을 체결했다고 밝혔다
1265, 이번 협약은 남부발전이 운영하고 있는 연료운반선 .척 중 .만톤급 벌크선 .척의 연료를 유류에서 친환경 연료인 로 전환하는 것을 내용으로 한다
1266, .연료추진선.은 선박의 연료를 유류에서 로 전환한 선박으로 유류 사용 대비 온실가스 . 미세먼지 . 등 환경 오염물질 배출량을 대폭 저감할 수 있는 친환경 선박이다
1267, 남부발전은 정부가 추진하는 .한국형 그린십. 이행으로 바다 위 탄소중립에 기여하고 상생협력과 경제 활성화 등 포용성장을 이끌고자 발전공기업 최초로 이번 연료추진선 도입을 추진하게 됐다
1268, 남부발전의 연료추진선은 이날 협약식을 기점으로 .년 건조를 추진 .년 하반기부터 연료 수송에 투입된다
1269, 정부가 주도하고 남부발전운송계약과 선사운송 조선사신규 건조가 협력하는 연료추진선 도입은 글로벌 환경 규제에 대한 발 빠른 대응으로 연료 수송 경쟁력을 확보하는 한편 신규 선박 .척 건조를 통한 경제 활성화 효과가 기대된다
1270, 이번에 건조되는 연료추진선은 사물인터넷 기술 접목을 통해 최적 운항관리가 가능하며 외에도 암모니아나 수소를 연료로 활용할 수 있도록 설계돼 무탄소 선박 운용을 위한 미래기술 확보란 의미도 지닌다
1271, 탄소저감 대응과 더불어 각종 환경 제세 부담 감소로 수송비용을 줄여 국민 부담을 완화하며 선사와 공동 부담하는 .억원의 투자재원은 .개의 일자리 창출을 전망케 한다
1272, 이외에도 국산기자재 . 활용과 부.울.경 지역 약 .억 원 일감 지원은 지역경제에 훈풍이 예상된다
1273, 이승우 사장은 .남부발전은 이번 연료추진선 도입과 더불어 창의적 상생협력을 확대하여 경영은 물론 발전산업 생태계 전반에 새로운 가치를 창출하겠다
1274,며 .향후 . 대한민국 탄소중립을 위한 여정에도 선도적 역할을 이행할 수 있도록 최선을 다하겠다
1275,고 말했다
1276, 온라인 중앙일보다
1277,이홍훈 이홍훈사진 전 대법관이 .일 별세했다
1278, .세. 이 전 대법관은 참여정부 이용훈 대법원장 시절 대법원에서 진보적 소수의견을 많이 내며 .법조 내 재야인사.라고 불릴 만큼 개혁적 성향으로 평가받았다
1279, 전북 고창에서 태어난 이 전 대법관은 경기고와 서울대 법대를 나왔고 .년 사법시험에 합격했다
1280, 사법연수원 .기로 .년 서울지법 영등포지원 판사로 임관한 후 .년간 판사로 근무했다
1281, 서울고법 부장판사와 제주지방법원장 서울중앙지방법원장을 거쳐 .년 대법관으로 임명됐다
1282, 이홍훈 전 대법관파업 무죄 .대강 중단 등 대표적 이 전 대법관은 헌법에 보장된 국민의 기본권과 사법 정의에 중점을 두고 판단해 기본권 보호에 충실하면서도 사회적 약자를 옹호하는 판결을 많이 내렸다는 평가다
1283, 그는 대법관 재직 시절 진보적 소수의견을 많이 낸 전수안.김지형.김영란.박시환 전 대법관과 함께 .독수리 .형제.로 불렸다
1284, 그는 대법관 시절 근로자들의 파업을 무조건 업무방해죄로 처벌해서는 안 된다는 판결을 내렸다
1285, 단순 파업도 당연히 업무방해죄에 해당한다고 여겼던 대법원 판례를 변경한 판결이었다
1286, 무급휴직원을 내고 출산을 했더라도 근로기준법상 출산휴가 .개월간의 임금을 지급해야 한다며 근로자의 기본권을 보호한 판결을 내리기도 했다
1287, .대강 사업 집행정지 신청. 전원합의체 사건에서는 주심을 맡아 .환경문제가 포함된 이 사건을 처리하면서 미래의 세대인 우리 자손의 중요한 삶의 터전이 될 환경이 오염되거나 훼손되지 아니하도록 각별한 주의를 기울일 필요가 있다
1288,며 .대강 사업 중단의 필요성을 강조하기도 했다
1289, 판사 시절에도 여러 진보적 판결을 내렸다
1290, 일례로 이적표현물 제작.배포의 처벌과 관련한 국가보안법 조항에 대해 .국가의 존립과 안전을 위태롭게 하거나 자유민주적 기본질서에 위해를 줄 명백한 위험이 있을 경우에만 적용해야 한다
1291,며 피고인에게 무죄를 선고했다
1292, .년 퇴임 후에는 신문윤리위원회 위원장 서울대 이사장 등을 맡았다
1293, .년 김명수 대법원장이 사법개혁 방안을 마련하기 위해 설치한 .국민과 함께하는 사법발전위원회. 초대위원장을 맡았다
1294, 빈소는 분당서울대병원에 마련됐다
1295, 발인은 오는 .일 오전 .시. 장지는 전북 고창이다
1296, 박현주 기자 .다
1297,지하 송유관에 구멍을 내 수만. 석유를 빼돌린 .대가 항소심에서 실형을 선고받았다
1298, 법원 이미지 .일 대전고법 제.형사부재판장 백승엽는 송유관안전관리법위반 혐의로 재판에 넘겨진 .대 남성 씨의 항소를 기각하고 원심과 동일한 징역 .년 .개월을 선고했다
1299, 씨는 지난 .년 .월 씨 등 공범들로부터 .송유관까지 파던 땅굴이 있다
1300,는 말을 듣고 함께 범행을 모의한 것으로 조사됐다
1301, 이들은 땅굴로 들어가 송유관에 구멍을 뚫고 용접해 유압밸브를 설치하는 방식으로 지난해 .월 .일 일주일 간 휘발유 .만. 경유 .만. 등 총 .만.를 훔쳤다
1302, .심 재판부는 .사회적.경제적 가치가 높은 특별재산에 대한 절도일 뿐 아니라 국가경제적 손실 공공안전에 대한 위험 및 환경오염까지 불러올 수 있어 해악이 매우 크다
1303,며 씨에게 징역 .년 .개월 주범 씨에게 징역 .년 .개월을 각각 선고했다
1304, 씨는 .심 판결에 불복해 항소했고 항소심 과정에서 송유관 복구비용 절반인 .만원을 공탁하기도 했다
1305, 하지만 항소심 재판부는 .이 사건 범행이 미친 사회경제적 피해나 죄질 등에 비해 원심 형량이 오히려 가볍다
1306,며 항소를 기각했다
1307, 신혜연 기자 .다
1308,이홍훈 전 대법관이 .일 오전 .시 .분 별세했다
1309, 향년 .세. 이 전 대법관은 참여정부 이용훈 대법원장 시절 대법원에서 진보적 소수의견을 많이 내며 .법조 내 재야인사.라고 불릴 만큼 개혁적 성향으로 평가받았다
1310, 이홍훈 대법관. 중앙일보 전북 고창에서 태어난 이 전 대법관은 경기고와 서울대 법대를 졸업해 .년 사법시험에 합격했다
1311, 사법연수원 .기로 .년 서울지법 영등포지원 판사로 임관한 후 .년간 판사로 근무했다
1312, 서울고법 부장판사와 제주지방법원장과 서울중앙지방법원장을 거쳐 .년 대법관으로 임명됐다
1313, 이 전 대법관은 사회적 약자를 옹호하는 개혁적인 판결을 많이 내렸다는 평가를 받는다
1314, 그는 참여정부에서 대법관으로 올라 진보적 소수의견을 많이 낸 전수안.김지형.김영란.박시환 전 대법관과 함께 .독수리 .형제.로 불렸다
1315, 그는 대법관 시절 근로자들의 파업을 무조건 업무방해죄로 봐 처벌해서는 안 된다는 판결을 내렸다
1316, 단순파업도 당연히 업무방해죄에 해당한다고 여겼던 기존 대법원 판례를 변경한 판결이었다
1317, .대강 사업 집행정지 신청. 전원합의체 사건에서는 주심을 맡아 .환경문제가 포함된 이 사건을 처리하면서 미래의 세대인 우리 자손의 중요한 삶의 터전이 될 환경이 오염되거나 훼손되지 아니하도록 각별한 주의를 기울일 필요가 있다
1318,며 .대강 사업 중단의 필요성을 강조하기도 했다
1319, 판사 시절에도 여러 진보적 판결을 내렸다
1320, 일례로 이적표현물 제작.배포의 처벌과 관련한 국가보안법 조항에 대해 .국가의 존립과 안전을 위태롭게 하거나 자유민주적 기본질서에 위해를 줄 명백한 위험이 있을 경우에만 적용해야 한다
1321,며 피고인에게 무죄를 선고했다
1322, .년 대법관 퇴임 후에는 한양대 로스쿨 석좌 교수와 법조윤리협의회 위원장 화우공익재단 이사장 신문윤리위원회 위원장 서울대 이사장 등을 맡았다
1323, 법조계 원로로 사법부 발전에도 힘써왔다
1324, .년 김명수 대법원장이 사법개혁 방안을 마련하기 위해 설치한 .국민과 함께하는 사법발전위원회. 초대위원장을 맡았다
1325, 빈소는 분당서울대병원에 마련됐다
1326, 발인은 오는 .일 오전 .시다
1327, 장지는 전북 고창이다
1328, 박현주 기자 .다
1329,개그맨 하준수 씨가 그린 최태원 회장 캐리커처. 유튜브 영상 캡처 .고생하는 사람 따로 돈 버는 사람 따로 있다
1330,주부 최 모 씨 .상당히 가슴에 와 닿기도 하고 찔리는 얘기도 많다
1331,최태원 회장 대한상공회의소회장 최태원가 .일 공개한 .국민 소통 프로젝트 소개 영상.의 일부다
1332, 최태원 회장은 최근 개인 인스타그램을 열고 몇 장의 사진을 올린 데 이어 지난 .일엔 카카오 오디오플랫폼 .음.에 출연해 공개 대화를 나눴다
1333, .일 대한상의가 .국민 소통 웹사이트.를 열며 공개한 영상에선 최 회장이 시민들의 의견을 듣는 모습이 나온다
1334, 시민들은 .기업은 이윤을 추구하다 보니까 진정성이 없는 것 같다
1335,회사원 이 모 씨 .보여주기식 퍼포먼스를 안 했으면 좋겠고.회사원 김 모 씨 .실질적으로 환경오염에 대처하는 기업의 모습도 보여줘야 한다고 생각한다
1336,대학생 원 모 씨 등의 의견을 냈다
1337, 최태원 회장 인스타그램 캡처 최 회장은 이에 대해 .기업도 앞으로 사회에 많은 기여와 공헌을 할 수 있도록 올바른 기업의 역할에 충실하도록 노력하겠다
1338,고 밝혔다
1339, 영상 속에서 최 회장은 개그맨이 그려준 자신의 캐리커처를 보고 웃기도 한다
1340, 대한상의 측은 .타인이 바라보는 자신의 모습은 나의 생각과 다를 수 있다는 것을 인정하는 모습.이라고 했다
1341, 최근 최 회장은 자신의 인스타그램에 사적인 사진을 올리기도 했다
1342, 서류가 펼쳐진 책상과 .시 .분을 막 넘긴 시계가 보이는 집무실에 앉아 서류를 읽거나 지인과 식사하는 모습 출근 길에 자신에게 다가오는 고양이 소파에서 스마트폰 게임을 하는 장면 등이다
1343, 어린 시절 최재원 수석부회장과 최기원 행복나눔재단 이사장과 함께 찍은 흑백 사진도 있다
1344, 최태원 그룹 회장의 인스타그램 캡처 사진엔 .야근. 설정아님. .삼남매. .추억의 갤러그 게임. .좀비 영화 매니아들. .비키라 내 길을 막지마라. 같은 태그나 짧은 글도 덧붙였다
1345, 그룹 관계자는 .인스타그램은 .년대 출생세대가 많이 쓰는 사회관계망서비스로 각광 받잖나. 그런 차원에서 최 회장이 인스타그램을 시작한 걸로 생각된다
1346,며 .최 회장이 대한상의도 맡으면서 소통 경청을 강조하고 있다
1347,고 말했다
1348, 대한상의 관계자도 .최 회장이 와서 소통 프로젝트를 하고 싶어했다
1349,며 .회장이 역점을 둔 사업.이라고 전했다
1350, 최태원 회장 인스타그램 캡처 백일현 기자 .다
1351,하나은행은행장 박성호 현대오일뱅크대표 강달호 한국프로축구연맹총재 권오갑이 사랑의열매 사회복지공동모금회회장 조흥식와 함께 사회적 가치 실현을 위한 친환경 캠페인 .그린킥오프.를 진행한다
1352, .일 오후 서울 종로구 축구회관에서 열린 리그 .그린킥오프. 캠페인 선포식에는 하나은행 박성호 은행장 한국프로축구연맹 권오갑 총재 사랑의열매 조흥식 회장 등이 참석했다
1353, 최근 환경오염으로 인한 이상기후가 이슈화되고 있으며 우리나라도 최근 국가별 탄소배출량 순위에서 상위권을 차지해 정부 기업 비영리기관 등에서 탄소를 줄이기 위한 방안을 마련하고 있다
1354, 이번 친환경 캠페인은 탄소배출량을 줄여 원활한 스포츠활동을 돕고 아동.청소년을 비롯한 지역사회의 야외 놀이와 문화활동 지속을 위해 기획됐다
1355, 이번 캠페인을 통해 사랑의열매는 리그와 함께 친환경 리그를 위한 다양한 사업들을 실시한다
1356, 우선 탄소중립 환경영향력을 측정할 수 있는 지표를 개발해 경기장 내 온실가스 배출량 등 환경상태를 점검할 수 있게 하고 구단 담당자들과 연고지역내 아동.청소년을 대상으로 환경감수성 증진을 위한 환경교육 및 참여활동 등을 진행할 계획이다
1357, 또 팬들을 위한 게임 영상 등 참여형 콘텐츠를 제작해 지역사회 구성원이 탄소배출 절감에 직접 참여할 수 있도록 할 예정이다
1358, 하나은행 박성호 은행장은 .이번 .그린킥오프. 캠페인을 통해 축구 팬들과 함께 환경 보호를 위한 노력에 적극 동참하고 기업 시민으로서 더 깨끗하고 건강한 사회를 위해 다양한 가치창출 노력을 이어가겠다
1359,고 말했다
1360, 한국프로축구연맹 권오갑 총재는 .리그에 .친환경.이라는 새로운 변화를 하나은행 현대오일뱅크 사랑의열매와 함께 만들게 하게 돼 감사드린다
1361,며 .리그는 미래 축구 꿈나무들을 위해 노력하겠으며 축구팬 여러분의 많은 관심과 동참을 부탁드린다
1362,고 말했다
1363, 사랑의열매 조흥식 회장은 .전세계가 이상기후에 주목해 환경보호를 위해 노력하고 있다
